id,email,password_hash,user_type,status,created_at,updated_at
2a8994fd-1aa0-5158-8b3b-aa7212209d3b,marie.gasana3993@yahoo.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2026-02-21 19:18:47.443988+00:00,2026-02-21 19:18:47.443988+00:00
34a47f6d-5cc7-5ef2-9127-00b404cd9702,pelagie.gasana8422@protonmail.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2025-09-02 19:18:47.443988+00:00,2025-09-02 19:18:47.443988+00:00
6bd0e39e-b819-5378-baa6-31cf4a887cf2,olive.rukundo8296@yahoo.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2024-11-30 19:18:47.443988+00:00,2024-11-30 19:18:47.443988+00:00
a714a22e-aed4-53b2-a689-8608269f5cd9,grace.umutoni1659@outlook.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2026-02-14 19:18:47.443988+00:00,2026-02-14 19:18:47.443988+00:00
e46746a7-e9cc-5ff5-ac45-302848608414,therese.mutoni207@yahoo.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2024-10-21 19:18:47.443988+00:00,2024-10-21 19:18:47.443988+00:00
6351bce2-35fd-5759-a583-3b04256d8024,claude.nzeyimana1936@outlook.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2026-04-14 19:18:47.443988+00:00,2026-04-14 19:18:47.443988+00:00
699e4796-6de9-5f71-8105-732087082c69,gilbert.bizimana3090@gmail.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2024-07-30 19:18:47.443988+00:00,2024-07-30 19:18:47.443988+00:00
f16da7fd-15f1-5698-8524-3c7ed9a5c2ae,yves.uwimana3352@protonmail.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2024-10-20 19:18:47.443988+00:00,2024-10-20 19:18:47.443988+00:00
e0c93055-f8ed-556d-8460-ef7f7e5ff05c,gilbert.umutoni8196@outlook.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2025-03-09 19:18:47.443988+00:00,2025-03-09 19:18:47.443988+00:00
db4ca672-654d-55a7-b046-c556d13d7060,aime.twizeyimana188@outlook.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2024-07-21 19:18:47.443988+00:00,2024-07-21 19:18:47.443988+00:00
849b9ef0-901c-57a0-b49a-59899000c9d6,henriette.umutoni4925@gmail.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2025-06-15 19:18:47.443988+00:00,2025-06-15 19:18:47.443988+00:00
584d3da6-8410-584a-ba90-ad011fcd27e2,diane.nshimiyimana1583@yahoo.com,$2b$10$GC7wpKXsbfpVUzEPVRxjHOKVEJxGo7w/fkTmnU0AnXeAyr9l8MHHO,candidate,active,2025-07-27 19:18:47.443988+00:00,2025-07-27 19:18:47.443988+00:00
